"","Variables","variable","std","mn"
"1","1","RMSE",0.00281243860030162,0.123164751635622
"2","1","Rsquared",0.0211794596375035,0.400596820872633
"3","2","RMSE",0.00222898986359604,0.115127095489765
"4","2","Rsquared",0.0151556424699522,0.476381042035698
"5","3","RMSE",0.00275205465046474,0.110530892851673
"6","3","Rsquared",0.0212431572572424,0.516487970404886
"7","4","RMSE",0.00171159795606811,0.105874985752981
"8","4","Rsquared",0.0156176081820427,0.556532483053497
"9","5","RMSE",0.00174717740489148,0.103520819157932
"10","5","Rsquared",0.0133597630993475,0.576366650264682
"11","6","RMSE",0.00229180378442794,0.100661987262246
"12","6","Rsquared",0.0170392273880393,0.59908585063821
"13","7","RMSE",0.00214800827015151,0.0977126981606056
"14","7","Rsquared",0.0144183784370866,0.622222481132888
"15","8","RMSE",0.00180806833278239,0.0967807077356721
"16","8","Rsquared",0.0131308158199542,0.629443219077127
"17","9","RMSE",0.0017770225449386,0.0962998675997814
"18","9","Rsquared",0.0138142378484873,0.63303431880968
"19","10","RMSE",0.00171477310172442,0.0957353203930587
"20","10","Rsquared",0.0116638541612528,0.637421169557525
"21","11","RMSE",0.00160523516817665,0.0952788954154847
"22","11","Rsquared",0.0109666509656159,0.640940482425355
"23","12","RMSE",0.00158209823427796,0.095164834787592
"24","12","Rsquared",0.0109268461423322,0.641768700625583
"25","13","RMSE",0.00169237113569553,0.0950863482034596
"26","13","Rsquared",0.0119014399542587,0.642338345904359
"27","14","RMSE",0.001605940921422,0.0945356958423474
"28","14","Rsquared",0.0110893088130655,0.646512900557254
"29","15","RMSE",0.00151509718656149,0.0941738423099598
"30","15","Rsquared",0.0107851383765716,0.64921922607938
"31","16","RMSE",0.00158776841684337,0.0940594398057068
"32","16","Rsquared",0.0111062706417891,0.650091404699704
"33","17","RMSE",0.00154631876024715,0.0937931799438837
"34","17","Rsquared",0.0111213202456362,0.652091085629766
"35","18","RMSE",0.00149130988365325,0.0936723226328425
"36","18","Rsquared",0.0109577864027738,0.652988307108662
