"","Model","Metric","mn","std"
"1","All","Rsq",0.647004133874668,0.000230380937445705
"2","All","RMSE",0.0943335048132479,3.06869004462106e-05
"3","Dry & Wet SR","Rsq",0.645982515451141,0.000203344305659985
"4","Dry & Wet SR","RMSE",0.0944684315948024,2.707585936661e-05
"5","Dry & Wet SR+VI","Rsq",0.644485772043323,0.000221813292020509
"6","Dry & Wet SR+VI","RMSE",0.0946707186897296,2.92805687192913e-05
"7","Dry & Wet VI","Rsq",0.583295463576273,0.000227916679497809
"8","Dry & Wet VI","RMSE",0.102647075318263,2.9723882602866e-05
"9","Dry SR","Rsq",0.606009985222904,0.000204420883942292
"10","Dry SR","RMSE",0.0997080280630236,2.68303751878706e-05
"11","Dry SR+VI","Rsq",0.601000969738844,0.000210186941748456
"12","Dry SR+VI","RMSE",0.100404998234012,2.775372004164e-05
"13","Dry VI","Rsq",0.561516479969744,0.00016518216188256
"14","Dry VI","RMSE",0.105590623981538,2.19775266855998e-05
"15","PALSAR","Rsq",0.238764281854005,0.000307278179468854
"16","PALSAR","RMSE",0.140209091864586,3.65235888241843e-05
"17","PALSAR & Dry SR","Rsq",0.616400805219579,0.000242028817569732
"18","PALSAR & Dry SR","RMSE",0.0983324325682968,3.09687986578138e-05
"19","PALSAR & Wet SR","Rsq",0.59650562724009,0.000300459371113377
"20","PALSAR & Wet SR","RMSE",0.100859722570765,3.74770119500092e-05
"21","PALSAR & Wet+Dry SR","Rsq",0.647030175366404,0.00025381556517975
"22","PALSAR & Wet+Dry SR","RMSE",0.0943400147514408,3.35191172926304e-05
"23","RFE","Rsq",0.620737206274741,0.000185985142768534
"24","RFE","RMSE",0.0977897360582571,2.41184988880658e-05
"25","Wet SR","Rsq",0.583819682338632,0.000234117319114549
"26","Wet SR","RMSE",0.102449666041277,2.89975003603437e-05
"27","Wet SR+VI","Rsq",0.577784987389542,0.000260644188162358
"28","Wet SR+VI","RMSE",0.103195505331539,3.25846618059464e-05
"29","Wet VI","Rsq",0.510955291368004,9.08348740649496e-05
"30","Wet VI","RMSE",0.111190281617396,1.18753461553594e-05
